coverage_modelFreeScore,seqId,seq,semantic
3.18098351317222E-7,382,956874 -1 1545958 -1  -2 ,'Furosemide' -1 'atorvastatin' -1 -2 
7.034687132848788E-7,22,1334456 -1  -2 ,'Ramipril' -1 -2 
6.194686348704344E-8,34,1136980 -1  -2 ,'Ketorolac' -1 -2 
5.426433078035174E-7,26,1314002 -1  -2 ,'Atenolol' -1 -2 
5.366190675832256E-7,28,1308842 -1  -2 ,'valsartan' -1 -2 
9.645036340371602E-9,221,1713332 -1 1308216 -1  -2 ,'Amoxicillin' -1 'Lisinopril' -1 -2 
4.4528155278145194E-7,4,1777806 -1  -2 ,'Ceftriaxone' -1 -2 
1.0352334435304272E-6,17,1383815 -1  -2 ,'Isosorbide' -1 -2 
0.0,530,19121608 -1 19121608 -1 19121608 -1  -2 ,'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 -2 
9.199864982432161E-7,51,715939 -1  -2 ,'Escitalopram' -1 -2 
2.1347023635450306E-7,0,19135941 -1  -2 ,'Thallous chloride Tl201' -1 -2 
1.1143779823444172E-6,27,1309944 -1  -2 ,'Amiodarone' -1 -2 
5.407082096771931E-7,47,905233 -1  -2 ,'Mometasone' -1 -2 
2.1636732149713356E-6,41,961047 -1  -2 ,'Ranitidine' -1 -2 
1.4617725698807123E-6,24,1328165 -1  -2 ,'Diltiazem' -1 -2 
4.982974681786661E-7,20,1341927 -1  -2 ,'Enalapril' -1 -2 
1.5157280294267622E-6,50,739138 -1  -2 ,'Sertraline' -1 -2 
7.255150686185631E-8,52,529411 -1  -2 ,'Tetanus Toxoid Vaccine' -1 -2 
2.491359431822069E-8,516,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
1.7929678999729132E-6,1,19111620 -1  -2 ,'Folic Acid' -1 -2 
5.443355156633336E-7,19,1367500 -1  -2 ,'Losartan' -1 -2 
2.2966931997824195E-8,5,1729720 -1  -2 ,'Penicillin V' -1 -2 
7.01553973203139E-7,37,1118084 -1  -2 ,'celecoxib' -1 -2 
4.751889033197664E-6,6,1596977 -1  -2 ,'Insulin. Regular. Human' -1 -2 
1.953808033408678E-7,21,1335471 -1  -2 ,'benazepril' -1 -2 
2.2117490285050367E-7,12,1547504 -1  -2 ,'rosiglitazone' -1 -2 
5.512338479271742E-6,38,1110410 -1  -2 ,'Morphine' -1 -2 
8.658768150824868E-9,23,1331270 -1  -2 ,'Dipyridamole' -1 -2 
8.21167621762896E-7,39,1000632 -1  -2 ,'Clotrimazole' -1 -2 
9.493802273985426E-7,16,1398937 -1  -2 ,'Clonidine' -1 -2 
1.4275683642393605E-7,25,1316262 -1  -2 ,'sildenafil' -1 -2 
5.47860304663774E-7,408,1163944 1201620 -1  -2 ,'Guaifenesin' 'Codeine' -1 -2 
1.8959990322813166E-6,2,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
6.573417315229961E-8,44,920293 -1  -2 ,'Nitrofurantoin' -1 -2 
1.701721269983985E-7,250,1125315 1786621 -1  -2 ,'Acetaminophen' 'Cephalexin' -1 -2 
4.864612724265689E-7,33,1149196 -1  -2 ,'Cetirizine' -1 -2 
1.888087646533571E-6,40,1000560 -1  -2 ,'Ondansetron' -1 -2 
3.6112475143157326E-7,420,956874 -1 1361711 -1  -2 ,'Furosemide' -1 'Nitroglycerin' -1 -2 
2.4415110268922154E-8,120,903963 -1 19121608 -1  -2 ,'Triamcinolone' -1 'Influenza virus vaccine' -1 -2 
9.85704025378463E-7,30,1167322 -1  -2 ,'Allopurinol' -1 -2 
2.840660662293685E-7,14,1517824 -1  -2 ,'Nicotinic Acid' -1 -2 
5.1244681255251904E-8,297,1125315 1713332 -1  -2 ,'Acetaminophen' 'Amoxicillin' -1 -2 
1.3266407889724493E-8,43,948582 -1  -2 ,'Polymyxin B' -1 -2 
5.536828050458182E-7,458,1112921 -1 1112921 -1  -2 ,'Ipratropium' -1 'Ipratropium' -1 -2 
0.0,196,1526475 1539403 -1  -2 ,'ezetimibe' 'Simvastatin' -1 -2 
1.0875373863662534E-7,413,1153013 1201620 -1  -2 ,'Promethazine' 'Codeine' -1 -2 
2.27717997628755E-7,36,1119510 -1  -2 ,'Dextromethorphan' -1 -2 
6.80765599726333E-8,31,1154161 -1  -2 ,'montelukast' -1 -2 
