coverage_support,seqId,seq,semantic
1365,7,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
1230,5,1518254 -1  -2 ,'Dexamethasone' -1 -2 
1243,8,1332418 -1  -2 ,'Amlodipine' -1 -2 
1115,9,1326303 -1  -2 ,'Digoxin' -1 -2 
1157,48,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
1159,30,19121608 -1 19121608 -1  -2 ,'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 -2 
1026,12,1177480 -1  -2 ,'Ibuprofen' -1 -2 
1203,6,1503297 -1  -2 ,'Metformin' -1 -2 
1217,19,970250 -1  -2 ,'Spironolactone' -1 -2 
946,14,1154029 -1  -2 ,'Fentanyl' -1 -2 
1097,126,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
856,13,1154332 -1  -2 ,'Pseudoephedrine' -1 -2 
882,29,586413 -1  -2 ,'pneumococcal polysaccharides (23)' -1 -2 
995,20,948078 -1  -2 ,'pantoprazole' -1 -2 
958,26,781039 -1  -2 ,'Alprazolam' -1 -2 
1092,110,1154343 -1 1154343 -1  -2 ,'Albuterol' -1 'Albuterol' -1 -2 
1170,10,1322184 -1  -2 ,'clopidogrel' -1 -2 
812,105,1125315 1201620 -1  -2 ,'Acetaminophen' 'Codeine' -1 -2 
830,25,791967 -1  -2 ,'Lorazepam' -1 -2 
952,18,975125 -1  -2 ,'Hydrocortisone' -1 -2 
896,16,997881 -1  -2 ,'Clindamycin' -1 -2 
847,17,989878 -1  -2 ,'Lidocaine' -1 -2 
1030,27,778711 -1  -2 ,'cyclobenzaprine' -1 -2 
1100,28,744740 -1  -2 ,'zolpidem' -1 -2 
890,4,1526475 -1  -2 ,'ezetimibe' -1 -2 
919,63,1506270 -1 1506270 -1  -2 ,'Methylprednisolone' -1 'Methylprednisolone' -1 -2 
821,3,1707164 -1  -2 ,'Metronidazole' -1 -2 
847,22,920458 -1  -2 ,'Betamethasone' -1 -2 
863,116,1137529 1149380 -1  -2 ,'salmeterol' 'fluticasone' -1 -2 
935,2,1716903 -1  -2 ,'moxifloxacin' -1 -2 
1063,15,1103314 -1  -2 ,'Tramadol' -1 -2 
871,88,1308216 -1 1308216 -1  -2 ,'Lisinopril' -1 'Lisinopril' -1 -2 
864,23,904453 -1  -2 ,'Esomeprazole' -1 -2 
986,1,1738521 -1  -2 ,'Doxycycline' -1 -2 
849,226,939506 967823 986417 -1  -2 ,'Sodium Bicarbonate' 'Sodium Chloride' 'POLYETHYLENE GLYCOL 3350' -1 -2 
853,0,1754994 -1  -2 ,'Fluconazole' -1 -2 
945,89,1307046 -1 1307046 -1  -2 ,'Metoprolol' -1 'Metoprolol' -1 -2 
885,11,1192710 -1  -2 ,'Chlorpheniramine' -1 -2 
917,78,1346823 -1 1346823 -1  -2 ,'carvedilol' -1 'carvedilol' -1 -2 
811,122,1112921 1154343 -1  -2 ,'Ipratropium' 'Albuterol' -1 -2 
1150,215,1125315 1174888 -1 956874 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Furosemide' -1 -2 
1267,84,956874 -1 1713332 -1  -2 ,'Furosemide' -1 'Amoxicillin' -1 -2 
887,24,797399 -1  -2 ,'gabapentin' -1 -2 
1066,47,956874 -1 19121608 -1  -2 ,'Furosemide' -1 'Influenza virus vaccine' -1 -2 
1056,59,1713332 -1 1734104 -1  -2 ,'Amoxicillin' -1 'Azithromycin' -1 -2 
