modelFreeScore,seqId,seq,semantic
48.475376098132,18,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
48.475376098132,8,1174888 -1  -2 ,'Hydrocodone' -1 -2 
44.34626831189299,3,1551099 -1  -2 ,'Prednisone' -1 -2 
43.57835704478862,11,1124957 -1  -2 ,'Oxycodone' -1 -2 
17.671514096149437,2,1742253 -1  -2 ,'Levofloxacin' -1 -2 
13.437302729240798,16,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
9.808942041192623,7,1307046 -1  -2 ,'Metoprolol' -1 -2 
9.223388426975735,9,1154343 -1  -2 ,'Albuterol' -1 -2 
5.540891171884772,15,739138 -1  -2 ,'Sertraline' -1 -2 
3.6617089737129427,13,791967 -1  -2 ,'Lorazepam' -1 -2 
3.1974860754771877,4,1518254 -1  -2 ,'Dexamethasone' -1 -2 
2.5502252959597715,0,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
2.0320882840591104,12,948078 -1  -2 ,'pantoprazole' -1 -2 
1.4225069264450578,1,1754994 -1  -2 ,'Fluconazole' -1 -2 
1.1850845721004464,14,781039 -1  -2 ,'Alprazolam' -1 -2 
0.5679136512460187,6,1310149 -1  -2 ,'Warfarin' -1 -2 
0.46583484464493835,5,1326303 -1  -2 ,'Digoxin' -1 -2 
0.44024365905015594,17,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
0.3757318237964875,10,1153013 -1  -2 ,'Promethazine' -1 -2 
