modelFreeScore,seqId,seq,semantic
50.260456416589975,15,1125315 -1  -2 ,'Acetaminophen' -1 -2 
48.475376098132,99,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
48.475376098132,19,1174888 -1  -2 ,'Hydrocodone' -1 -2 
44.34626831189299,31,1551099 -1  -2 ,'Prednisone' -1 -2 
43.57835704478862,14,1124957 -1  -2 ,'Oxycodone' -1 -2 
43.19990946502061,10,989878 -1  -2 ,'Lidocaine' -1 -2 
42.3051736086135,123,1124957 -1 1125315 -1 1124957 -1  -2 ,'Oxycodone' -1 'Acetaminophen' -1 'Oxycodone' -1 -2 
42.3051736086135,120,1124957 -1 1124957 -1  -2 ,'Oxycodone' -1 'Oxycodone' -1 -2 
42.3051736086135,110,1125315 -1 1124957 -1  -2 ,'Acetaminophen' -1 'Oxycodone' -1 -2 
42.3051736086135,109,1124957 -1 1125315 -1  -2 ,'Oxycodone' -1 'Acetaminophen' -1 -2 
24.39078462586133,8,956874 -1  -2 ,'Furosemide' -1 -2 
17.671514096149437,34,1742253 -1  -2 ,'Levofloxacin' -1 -2 
16.07257695137802,38,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
13.437302729240798,52,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
9.808942041192623,22,1307046 -1  -2 ,'Metoprolol' -1 -2 
9.223388426975735,18,1154343 -1  -2 ,'Albuterol' -1 -2 
7.3600823045267525,102,1112921 1154343 -1  -2 ,'Ipratropium' 'Albuterol' -1 -2 
7.3600823045267525,13,1112921 -1  -2 ,'Ipratropium' -1 -2 
6.674888888888895,66,1154343 1742253 -1  -2 ,'Albuterol' 'Levofloxacin' -1 -2 
6.369841836734698,91,956874 1307046 -1  -2 ,'Furosemide' 'Metoprolol' -1 -2 
6.335123192040033,28,1332418 -1  -2 ,'Amlodipine' -1 -2 
6.066724279835396,105,1154343 -1 956874 19049105 -1  -2 ,'Albuterol' -1 'Furosemide' 'Potassium Chloride' -1 -2 
6.066724279835396,103,1154343 -1 956874 -1  -2 ,'Albuterol' -1 'Furosemide' -1 -2 
6.066724279835396,50,1154343 -1 19049105 -1  -2 ,'Albuterol' -1 'Potassium Chloride' -1 -2 
5.540891171884772,0,739138 -1  -2 ,'Sertraline' -1 -2 
3.6617089737129427,4,791967 -1  -2 ,'Lorazepam' -1 -2 
3.1974860754771877,30,1518254 -1  -2 ,'Dexamethasone' -1 -2 
2.5502252959597715,39,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
2.2707624716553307,71,791967 -1 1742253 -1  -2 ,'Lorazepam' -1 'Levofloxacin' -1 -2 
2.0320882840591104,7,948078 -1  -2 ,'pantoprazole' -1 -2 
1.9567785917021463,11,1000560 -1  -2 ,'Ondansetron' -1 -2 
1.923739711934157,47,791967 -1 19055720 -1  -2 ,'Lorazepam' -1 'HEPARIN. BEEF' -1 -2 
1.923739711934157,25,1325608 -1  -2 ,'pegfilgrastim' -1 -2 
1.8192995192743782,70,956874 -1 1742253 -1  -2 ,'Furosemide' -1 'Levofloxacin' -1 -2 
1.5371040279600208,46,19055720 -1 1742253 -1  -2 ,'HEPARIN. BEEF' -1 'Levofloxacin' -1 -2 
1.456559027777778,16,1129625 -1  -2 ,'Diphenhydramine' -1 -2 
1.4225069264450578,35,1754994 -1  -2 ,'Fluconazole' -1 -2 
1.226043348320701,12,1110410 -1  -2 ,'Morphine' -1 -2 
1.1850845721004464,3,781039 -1  -2 ,'Alprazolam' -1 -2 
0.9812085327958351,132,791967 -1 781039 -1  -2 ,'Lorazepam' -1 'Alprazolam' -1 -2 
0.9812085327958351,114,1125315 -1 781039 -1  -2 ,'Acetaminophen' -1 'Alprazolam' -1 -2 
0.9812085327958351,113,1125315 -1 791967 -1  -2 ,'Acetaminophen' -1 'Lorazepam' -1 -2 
0.9812085327958351,101,1125315 -1 1154343 -1  -2 ,'Acetaminophen' -1 'Albuterol' -1 -2 
0.8965905868782746,5,797399 -1  -2 ,'gabapentin' -1 -2 
0.7306077097505675,104,781039 -1 1154343 -1  -2 ,'Alprazolam' -1 'Albuterol' -1 -2 
0.7147146933556114,40,19111620 -1  -2 ,'Folic Acid' -1 -2 
0.7053404866059962,111,956874 -1 1125315 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 -2 
0.6552090083451263,130,956874 -1 1174888 -1 1754994 -1  -2 ,'Furosemide' -1 'Hydrocodone' -1 'Fluconazole' -1 -2 
0.6552090083451263,129,956874 -1 1125315 1174888 -1 1754994 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 'Fluconazole' -1 -2 
0.6552090083451263,128,956874 -1 1125315 -1 1754994 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 'Fluconazole' -1 -2 
0.6552090083451263,125,956874 -1 1125315 1174888 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.6552090083451263,118,1125315 1174888 -1 1754994 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Fluconazole' -1 -2 
0.6552090083451263,100,956874 -1 1174888 -1  -2 ,'Furosemide' -1 'Hydrocodone' -1 -2 
0.6552090083451263,62,956874 -1 1754994 -1  -2 ,'Furosemide' -1 'Fluconazole' -1 -2 
0.6552090083451263,60,1125315 -1 1754994 -1  -2 ,'Acetaminophen' -1 'Fluconazole' -1 -2 
0.6552090083451263,59,1174888 -1 1754994 -1  -2 ,'Hydrocodone' -1 'Fluconazole' -1 -2 
0.6468957097505675,127,956874 -1 1125315 -1 1742253 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 'Levofloxacin' -1 -2 
0.6468957097505675,68,1125315 -1 1742253 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 -2 
