modelFreeScore,seqId,seq,semantic
44.34626831189299,3,1551099 -1  -2 ,'Prednisone' -1 -2 
43.19990946502061,11,989878 -1  -2 ,'Lidocaine' -1 -2 
42.3051736086135,54,1124957 -1 1125315 -1 1124957 -1  -2 ,'Oxycodone' -1 'Acetaminophen' -1 'Oxycodone' -1 -2 
7.3600823045267525,36,1112921 1154343 -1  -2 ,'Ipratropium' 'Albuterol' -1 -2 
6.674888888888895,25,1154343 1742253 -1  -2 ,'Albuterol' 'Levofloxacin' -1 -2 
6.369841836734698,37,956874 1307046 -1  -2 ,'Furosemide' 'Metoprolol' -1 -2 
6.335123192040033,5,1332418 -1  -2 ,'Amlodipine' -1 -2 
6.066724279835396,44,1154343 -1 956874 19049105 -1  -2 ,'Albuterol' -1 'Furosemide' 'Potassium Chloride' -1 -2 
5.540891171884772,16,739138 -1  -2 ,'Sertraline' -1 -2 
2.2707624716553307,30,791967 -1 1742253 -1  -2 ,'Lorazepam' -1 'Levofloxacin' -1 -2 
1.9567785917021463,10,1000560 -1  -2 ,'Ondansetron' -1 -2 
1.923739711934157,22,791967 -1 19055720 -1  -2 ,'Lorazepam' -1 'HEPARIN. BEEF' -1 -2 
1.923739711934157,7,1325608 -1  -2 ,'pegfilgrastim' -1 -2 
1.5371040279600208,17,19055720 -1 1742253 -1  -2 ,'HEPARIN. BEEF' -1 'Levofloxacin' -1 -2 
1.456559027777778,8,1129625 -1  -2 ,'Diphenhydramine' -1 -2 
1.226043348320701,9,1110410 -1  -2 ,'Morphine' -1 -2 
0.9812085327958351,42,791967 -1 781039 -1  -2 ,'Lorazepam' -1 'Alprazolam' -1 -2 
0.9812085327958351,40,1125315 -1 781039 -1  -2 ,'Acetaminophen' -1 'Alprazolam' -1 -2 
0.9812085327958351,39,1125315 -1 791967 -1  -2 ,'Acetaminophen' -1 'Lorazepam' -1 -2 
0.9812085327958351,35,1125315 -1 1154343 -1  -2 ,'Acetaminophen' -1 'Albuterol' -1 -2 
0.8965905868782746,13,797399 -1  -2 ,'gabapentin' -1 -2 
0.7306077097505675,38,781039 -1 1154343 -1  -2 ,'Alprazolam' -1 'Albuterol' -1 -2 
0.7147146933556114,0,19111620 -1  -2 ,'Folic Acid' -1 -2 
