modelFreeScore,seqId,seq,semantic
8.078182565529176E-5,22,956874 -1  -2 ,'Furosemide' -1 -2 
7.078080190122203E-5,37,1125315 -1  -2 ,'Acetaminophen' -1 -2 
5.3334657202180204E-5,98,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
3.946049017732476E-5,52,1174888 -1  -2 ,'Hydrocodone' -1 -2 
2.8850745220443473E-5,582,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
2.736682164425282E-5,87,1742253 -1  -2 ,'Levofloxacin' -1 -2 
2.28981590798969E-5,50,1154343 -1  -2 ,'Albuterol' -1 -2 
1.832014121276806E-5,83,1713332 -1  -2 ,'Amoxicillin' -1 -2 
1.801160997074371E-5,79,1551099 -1  -2 ,'Prednisone' -1 -2 
1.7408016723463607E-5,61,1310149 -1  -2 ,'Warfarin' -1 -2 
1.681680656870958E-5,57,1307046 -1  -2 ,'Metoprolol' -1 -2 
1.4752226948629469E-5,101,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
1.4712200683881694E-5,766,1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.4043565533590934E-5,36,1124957 -1  -2 ,'Oxycodone' -1 -2 
1.4018981606804546E-5,75,1518254 -1  -2 ,'Dexamethasone' -1 -2 
1.3247859535314711E-5,85,1734104 -1  -2 ,'Azithromycin' -1 -2 
1.2592726450650436E-5,30,1000560 -1  -2 ,'Ondansetron' -1 -2 
1.2424600538181815E-5,785,956874 -1 1125315 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 -2 
1.2145510231019224E-5,99,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
1.196926752128638E-5,8,791967 -1  -2 ,'Lorazepam' -1 -2 
1.1663598236630296E-5,45,1153013 -1  -2 ,'Promethazine' -1 -2 
1.1196851960630357E-5,48,1154029 -1  -2 ,'Fentanyl' -1 -2 
1.1028538543387467E-5,65,1346823 -1  -2 ,'carvedilol' -1 -2 
1.0719837332297385E-5,24,970250 -1  -2 ,'Spironolactone' -1 -2 
1.0440930508971079E-5,58,1308216 -1  -2 ,'Lisinopril' -1 -2 
9.75903801975692E-6,583,1125315 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 -2 
9.694276763813445E-6,186,19049105 -1 1125315 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' -1 -2 
9.001777708303275E-6,73,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
8.708053201614484E-6,5,744740 -1  -2 ,'zolpidem' -1 -2 
8.675225823546404E-6,94,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
8.621439415806682E-6,584,1174888 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 -2 
8.465607265062767E-6,786,1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 -2 
8.335207147246448E-6,34,1112921 -1  -2 ,'Ipratropium' -1 -2 
7.896650166391508E-6,1123,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
7.857665023966106E-6,44,1149380 -1  -2 ,'fluticasone' -1 -2 
7.828982966152598E-6,93,1786621 -1  -2 ,'Cephalexin' -1 -2 
7.70794842615454E-6,193,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
7.601641946262091E-6,33,1110410 -1  -2 ,'Morphine' -1 -2 
7.492936103830196E-6,572,1174888 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 -2 
7.4893955023861325E-6,90,1759842 -1  -2 ,'Clavulanate' -1 -2 
7.320792650709003E-6,595,956874 -1 1174888 -1  -2 ,'Furosemide' -1 'Hydrocodone' -1 -2 
