support,seqId,seq,semantic
14251,37,1125315 -1  -2 ,'Acetaminophen' -1 -2 
11681,52,1174888 -1  -2 ,'Hydrocodone' -1 -2 
10423,22,956874 -1  -2 ,'Furosemide' -1 -2 
10330,101,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
10019,582,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
9274,98,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
9218,83,1713332 -1  -2 ,'Amoxicillin' -1 -2 
8357,85,1734104 -1  -2 ,'Azithromycin' -1 -2 
8150,766,1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 -2 
7127,583,1125315 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 -2 
7032,73,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
6877,58,1308216 -1  -2 ,'Lisinopril' -1 -2 
6776,584,1174888 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 -2 
6586,50,1154343 -1  -2 ,'Albuterol' -1 -2 
6376,57,1307046 -1  -2 ,'Metoprolol' -1 -2 
6347,572,1174888 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 -2 
6063,87,1742253 -1  -2 ,'Levofloxacin' -1 -2 
6057,834,1125315 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
5952,79,1551099 -1  -2 ,'Prednisone' -1 -2 
5888,94,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
5837,837,1125315 1174888 -1 1125315 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 -2 
5741,93,1786621 -1  -2 ,'Cephalexin' -1 -2 
5694,65,1346823 -1  -2 ,'carvedilol' -1 -2 
5518,614,1174888 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
5467,77,1539403 -1  -2 ,'Simvastatin' -1 -2 
5416,941,1125315 1174888 -1 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Hydrocodone' -1 -2 
5368,36,1124957 -1  -2 ,'Oxycodone' -1 -2 
5362,785,956874 -1 1125315 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 -2 
5258,10,903963 -1  -2 ,'Triamcinolone' -1 -2 
5255,48,1154029 -1  -2 ,'Fentanyl' -1 -2 
5202,387,1125315 -1 1713332 -1  -2 ,'Acetaminophen' -1 'Amoxicillin' -1 -2 
5176,44,1149380 -1  -2 ,'fluticasone' -1 -2 
5126,1123,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
5102,826,1125315 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
4984,1035,1125315 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
4961,25,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
4931,90,1759842 -1  -2 ,'Clavulanate' -1 -2 
4920,45,1153013 -1  -2 ,'Promethazine' -1 -2 
4915,388,1713332 -1 1125315 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' -1 -2 
4854,186,19049105 -1 1125315 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' -1 -2 
4803,55,1201620 -1  -2 ,'Codeine' -1 -2 
4791,2,708298 -1  -2 ,'Midazolam' -1 -2 
4782,274,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
4716,332,1125315 -1 1734104 -1  -2 ,'Acetaminophen' -1 'Azithromycin' -1 -2 
4550,361,1713332 -1 1713332 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 -2 
4535,75,1518254 -1  -2 ,'Dexamethasone' -1 -2 
4508,835,1125315 -1 1174888 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
4495,595,956874 -1 1174888 -1  -2 ,'Furosemide' -1 'Hydrocodone' -1 -2 
4487,30,1000560 -1  -2 ,'Ondansetron' -1 -2 
4485,61,1310149 -1  -2 ,'Warfarin' -1 -2 
4484,786,1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 -2 
4472,104,19121608 -1 19121608 -1  -2 ,'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 -2 
4468,836,1125315 -1 1125315 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
4436,185,1125315 -1 19049105 -1  -2 ,'Acetaminophen' -1 'Potassium Chloride' -1 -2 
4387,132,1125315 -1 19121608 -1  -2 ,'Acetaminophen' -1 'Influenza virus vaccine' -1 -2 
4368,333,1734104 -1 1125315 -1  -2 ,'Azithromycin' -1 'Acetaminophen' -1 -2 
4332,379,1174888 -1 1713332 -1  -2 ,'Hydrocodone' -1 'Amoxicillin' -1 -2 
4322,78,1545958 -1  -2 ,'atorvastatin' -1 -2 
4314,81,1705674 -1  -2 ,'Trimethoprim' -1 -2 
4244,380,1713332 -1 1174888 -1  -2 ,'Amoxicillin' -1 'Hydrocodone' -1 -2 
4236,611,1174888 -1 1125315 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
4201,940,1125315 -1 1174888 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Hydrocodone' -1 -2 
4169,95,1836430 -1  -2 ,'Sulfamethoxazole' -1 -2 
4165,228,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
4154,64,1332418 -1  -2 ,'Amlodipine' -1 -2 
4132,179,19049105 -1 1174888 -1  -2 ,'Potassium Chloride' -1 'Hydrocodone' -1 -2 
4037,193,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
3992,616,1174888 -1 1125315 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
3982,324,1174888 -1 1734104 -1  -2 ,'Hydrocodone' -1 'Azithromycin' -1 -2 
3954,72,1503297 -1  -2 ,'Metformin' -1 -2 
3950,615,1174888 -1 1174888 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
3869,150,19049105 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Potassium Chloride' -1 -2 
