coverage_modelFreeScore,seqId,seq,semantic
7.078080190122203E-5,13,1125315 -1  -2 ,'Acetaminophen' -1 -2 
1.4752226948629469E-5,44,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
8.078182565529176E-5,5,956874 -1  -2 ,'Furosemide' -1 -2 
9.001777708303275E-6,29,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
5.118700162628677E-6,0,708298 -1  -2 ,'Midazolam' -1 -2 
1.832014121276806E-5,35,1713332 -1  -2 ,'Amoxicillin' -1 -2 
1.681680656870958E-5,21,1307046 -1  -2 ,'Metoprolol' -1 -2 
3.823547670809243E-6,3,903963 -1  -2 ,'Triamcinolone' -1 -2 
1.1028538543387467E-5,26,1346823 -1  -2 ,'carvedilol' -1 -2 
1.3247859535314711E-5,36,1734104 -1  -2 ,'Azithromycin' -1 -2 
1.2592726450650436E-5,10,1000560 -1  -2 ,'Ondansetron' -1 -2 
2.3680252023566167E-6,7,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
2.28981590798969E-5,18,1154343 -1  -2 ,'Albuterol' -1 -2 
5.3334657202180204E-5,43,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
1.4018981606804546E-5,30,1518254 -1  -2 ,'Dexamethasone' -1 -2 
1.0440930508971079E-5,22,1308216 -1  -2 ,'Lisinopril' -1 -2 
2.736682164425282E-5,38,1742253 -1  -2 ,'Levofloxacin' -1 -2 
3.544816278822853E-6,31,1539403 -1  -2 ,'Simvastatin' -1 -2 
1.1196851960630357E-5,17,1154029 -1  -2 ,'Fentanyl' -1 -2 
4.421123188856066E-6,32,1545958 -1  -2 ,'atorvastatin' -1 -2 
1.1663598236630296E-5,15,1153013 -1  -2 ,'Promethazine' -1 -2 
8.675225823546404E-6,41,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
1.7408016723463607E-5,23,1310149 -1  -2 ,'Warfarin' -1 -2 
1.5901120058752242E-6,28,1503297 -1  -2 ,'Metformin' -1 -2 
4.038955327927469E-6,9,989878 -1  -2 ,'Lidocaine' -1 -2 
7.828982966152598E-6,40,1786621 -1  -2 ,'Cephalexin' -1 -2 
7.857665023966106E-6,14,1149380 -1  -2 ,'fluticasone' -1 -2 
4.308661296696789E-6,25,1332418 -1  -2 ,'Amlodipine' -1 -2 
1.801160997074371E-5,33,1551099 -1  -2 ,'Prednisone' -1 -2 
3.7626151422255516E-6,27,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
8.708053201614484E-6,1,744740 -1  -2 ,'zolpidem' -1 -2 
6.151492923860139E-6,24,1322184 -1  -2 ,'clopidogrel' -1 -2 
1.4043565533590934E-5,12,1124957 -1  -2 ,'Oxycodone' -1 -2 
6.466603867687693E-6,34,1705674 -1  -2 ,'Trimethoprim' -1 -2 
2.5399011577178133E-6,37,1738521 -1  -2 ,'Doxycycline' -1 -2 
1.2299606740822324E-6,2,778711 -1  -2 ,'cyclobenzaprine' -1 -2 
1.0719837332297385E-5,6,970250 -1  -2 ,'Spironolactone' -1 -2 
2.7384160843348044E-6,4,923645 -1  -2 ,'Omeprazole' -1 -2 
2.049575914896808E-6,8,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
3.946049017732476E-5,19,1174888 -1  -2 ,'Hydrocodone' -1 -2 
2.1658928919358105E-6,11,1103314 -1  -2 ,'Tramadol' -1 -2 
5.270238392151823E-6,20,1201620 -1  -2 ,'Codeine' -1 -2 
7.4893955023861325E-6,39,1759842 -1  -2 ,'Clavulanate' -1 -2 
2.8850745220443473E-5,94,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
9.334626721523546E-7,45,19121608 -1 19121608 -1  -2 ,'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 -2 
7.896650166391508E-6,138,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
2.212085794417504E-6,110,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
7.0136221557787605E-6,66,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
2.8369158342506247E-6,112,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
7.29079084797793E-6,16,1153664 -1  -2 ,'Propoxyphene' -1 -2 
5.000289921219904E-6,57,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
6.445024502442035E-6,42,1836430 -1  -2 ,'Sulfamethoxazole' -1 -2 
1.4188353691012003E-6,69,1734104 -1 1734104 -1  -2 ,'Azithromycin' -1 'Azithromycin' -1 -2 
2.0492119709215966E-6,78,1713332 -1 1713332 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 -2 
