coverage_modelFreeScore,seqId,seq,semantic
222.0535441444683,10,956874 -1  -2 ,'Furosemide' -1 -2 
29.645409795322106,17,1125315 -1  -2 ,'Acetaminophen' -1 -2 
26.263042565229142,14,1000560 -1  -2 ,'Ondansetron' -1 -2 
10.633010999914797,42,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
415.0673528971832,35,1713332 -1  -2 ,'Amoxicillin' -1 -2 
158.08409345726022,9,948078 -1  -2 ,'pantoprazole' -1 -2 
153.02848047488197,44,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
2.3321498273778123,43,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
0.45425768665503724,24,1307046 -1  -2 ,'Metoprolol' -1 -2 
184.11930076983109,21,1154343 -1  -2 ,'Albuterol' -1 -2 
0.6609900266319295,45,19136030 -1  -2 ,'Saline Solution. Hypertonic' -1 -2 
0.41873187710529064,7,906780 -1  -2 ,'Metoclopramide' -1 -2 
157.54960735635595,31,1518254 -1  -2 ,'Dexamethasone' -1 -2 
0.06978068596853838,32,1524674 -1  -2 ,'zoledronic acid' -1 -2 
7.422126157986922,5,903963 -1  -2 ,'Triamcinolone' -1 -2 
2.521726139223327,16,1124957 -1  -2 ,'Oxycodone' -1 -2 
0.22363589531628553,27,1322184 -1  -2 ,'clopidogrel' -1 -2 
0.06729291188099,29,1328165 -1  -2 ,'Diltiazem' -1 -2 
254.66865619669633,41,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
2.7260209544611174,28,1326303 -1  -2 ,'Digoxin' -1 -2 
1.8157151620497103,30,1346823 -1  -2 ,'carvedilol' -1 -2 
1.7091060518863472,19,1153013 -1  -2 ,'Promethazine' -1 -2 
0.9504898898519025,18,1129625 -1  -2 ,'Diphenhydramine' -1 -2 
0.9013224266781099,1,744740 -1  -2 ,'zolpidem' -1 -2 
0.7664775237036292,20,1154029 -1  -2 ,'Fentanyl' -1 -2 
0.1308493505265138,4,791967 -1  -2 ,'Lorazepam' -1 -2 
23.957637098519196,22,1174888 -1  -2 ,'Hydrocodone' -1 -2 
1.7132953353913525,34,1551099 -1  -2 ,'Prednisone' -1 -2 
265.38349922751,49,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
2.9678541981227715,26,1310149 -1  -2 ,'Warfarin' -1 -2 
1.1887218983744325,37,1742253 -1  -2 ,'Levofloxacin' -1 -2 
0.5753014558546647,0,708298 -1  -2 ,'Midazolam' -1 -2 
0.9299692801886947,23,1201620 -1  -2 ,'Codeine' -1 -2 
3.3988563831681726,25,1308216 -1  -2 ,'Lisinopril' -1 -2 
1.3163888247969442,11,961047 -1  -2 ,'Ranitidine' -1 -2 
0.49912274981675403,15,1110410 -1  -2 ,'Morphine' -1 -2 
0.07513513395569725,46,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
27.246105475963986,12,970250 -1  -2 ,'Spironolactone' -1 -2 
3.1974483561527745,47,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
1.4384402782398067,52,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
22.5712996103168,6,904453 -1  -2 ,'Esomeprazole' -1 -2 
1.3932166652617244,40,1786621 -1  -2 ,'Cephalexin' -1 -2 
0.9563169921580452,48,19049105 -1 956874 -1  -2 ,'Potassium Chloride' -1 'Furosemide' -1 -2 
0.19929894585894273,2,752061 -1  -2 ,'Prochlorperazine' -1 -2 
0.08269223324093918,3,781039 -1  -2 ,'Alprazolam' -1 -2 
265.38349922751,39,1759842 -1  -2 ,'Clavulanate' -1 -2 
20.832902092620138,51,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
3.0151987087123806,8,907013 -1  -2 ,'Metolazone' -1 -2 
0.3494401322084571,13,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
0.06307109033588112,38,1754994 -1  -2 ,'Fluconazole' -1 -2 
1.3533327982726362,36,1734104 -1  -2 ,'Azithromycin' -1 -2 
157.54377728909105,50,1713332 -1 956874 -1  -2 ,'Amoxicillin' -1 'Furosemide' -1 -2 
0.289627293862597,33,1539403 -1  -2 ,'Simvastatin' -1 -2 
