coverage_modelFreeScore,seqId,seq,semantic
222.0535441444683,10,956874 -1  -2 ,'Furosemide' -1 -2 
26.263042565229142,9,1000560 -1  -2 ,'Ondansetron' -1 -2 
23.957637098519196,5,1174888 -1  -2 ,'Hydrocodone' -1 -2 
10.633010999914797,1,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
157.54960735635595,4,1518254 -1  -2 ,'Dexamethasone' -1 -2 
184.11930076983109,6,1154343 -1  -2 ,'Albuterol' -1 -2 
2.3321498273778123,0,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
265.38349922751,11,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
2.521726139223327,8,1124957 -1  -2 ,'Oxycodone' -1 -2 
1.7132953353913525,3,1551099 -1  -2 ,'Prednisone' -1 -2 
1.7091060518863472,7,1153013 -1  -2 ,'Promethazine' -1 -2 
1.1887218983744325,2,1742253 -1  -2 ,'Levofloxacin' -1 -2 
20.832902092620138,12,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
