coverage_support,seqId,seq,semantic
34,10,956874 -1  -2 ,'Furosemide' -1 -2 
30,17,1125315 -1  -2 ,'Acetaminophen' -1 -2 
22,14,1000560 -1  -2 ,'Ondansetron' -1 -2 
33,42,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
23,35,1713332 -1  -2 ,'Amoxicillin' -1 -2 
21,43,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
14,24,1307046 -1  -2 ,'Metoprolol' -1 -2 
13,44,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
12,9,948078 -1  -2 ,'pantoprazole' -1 -2 
16,21,1154343 -1  -2 ,'Albuterol' -1 -2 
11,45,19136030 -1  -2 ,'Saline Solution. Hypertonic' -1 -2 
9,7,906780 -1  -2 ,'Metoclopramide' -1 -2 
24,31,1518254 -1  -2 ,'Dexamethasone' -1 -2 
8,32,1524674 -1  -2 ,'zoledronic acid' -1 -2 
18,16,1124957 -1  -2 ,'Oxycodone' -1 -2 
10,29,1328165 -1  -2 ,'Diltiazem' -1 -2 
9,27,1322184 -1  -2 ,'clopidogrel' -1 -2 
9,5,903963 -1  -2 ,'Triamcinolone' -1 -2 
19,34,1551099 -1  -2 ,'Prednisone' -1 -2 
17,19,1153013 -1  -2 ,'Promethazine' -1 -2 
14,18,1129625 -1  -2 ,'Diphenhydramine' -1 -2 
12,20,1154029 -1  -2 ,'Fentanyl' -1 -2 
11,30,1346823 -1  -2 ,'carvedilol' -1 -2 
11,28,1326303 -1  -2 ,'Digoxin' -1 -2 
10,1,744740 -1  -2 ,'zolpidem' -1 -2 
9,4,791967 -1  -2 ,'Lorazepam' -1 -2 
22,22,1174888 -1  -2 ,'Hydrocodone' -1 -2 
19,37,1742253 -1  -2 ,'Levofloxacin' -1 -2 
16,49,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
14,26,1310149 -1  -2 ,'Warfarin' -1 -2 
8,0,708298 -1  -2 ,'Midazolam' -1 -2 
14,41,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
13,15,1110410 -1  -2 ,'Morphine' -1 -2 
8,3,781039 -1  -2 ,'Alprazolam' -1 -2 
9,46,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
9,25,1308216 -1  -2 ,'Lisinopril' -1 -2 
9,23,1201620 -1  -2 ,'Codeine' -1 -2 
9,11,961047 -1  -2 ,'Ranitidine' -1 -2 
11,52,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
11,40,1786621 -1  -2 ,'Cephalexin' -1 -2 
10,48,19049105 -1 956874 -1  -2 ,'Potassium Chloride' -1 'Furosemide' -1 -2 
9,12,970250 -1  -2 ,'Spironolactone' -1 -2 
8,47,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
8,2,752061 -1  -2 ,'Prochlorperazine' -1 -2 
16,51,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
16,39,1759842 -1  -2 ,'Clavulanate' -1 -2 
10,6,904453 -1  -2 ,'Esomeprazole' -1 -2 
8,8,907013 -1  -2 ,'Metolazone' -1 -2 
8,13,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
9,38,1754994 -1  -2 ,'Fluconazole' -1 -2 
10,36,1734104 -1  -2 ,'Azithromycin' -1 -2 
8,50,1713332 -1 956874 -1  -2 ,'Amoxicillin' -1 'Furosemide' -1 -2 
9,33,1539403 -1  -2 ,'Simvastatin' -1 -2 
